job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fuente,fecha_scrap,nivel,tipo_empleo,modalidad,salario
1118426453,Data Visualization Analyst,Baires HR,"Capital Federal, Buenos Aires","Empresa del sector financiero Nos encontramos en la búsqueda de un/a BI Analyst & Data Visualization para incorporarse a una importante organización del sector financiero.Buscamos una persona con experiencia en Business Intelligence y Data Analytics, con fuerte orientación a la visualización, análisis e interpretación de datos, que pueda comprender las necesidades del negocio y transformarlas en soluciones de información.. ¿Cuál será tu misión?Desarrollar soluciones de BI y Analytics que permitan transformar datos en visualizaciones, análisis e insights accionables para el negocio, incorporando nuevas herramientas y tecnologías, especialmente HTML e Inteligencia Artificial generativa, para mejorar la forma en que la organización consume, interpreta y utiliza la información. Principales responsabilidades Desarrollar y/o adaptar soluciones de visualización utilizando HTML y otras tecnologías, buscando mejorar la forma en que los usuarios consumen e interpretan los datos. Explorar y utilizar herramientas de Inteligencia Artificial generativa y técnicas de prompting para potenciar el análisis de datos, agilizar el desarrollo de soluciones y explorar nuevas formas de trabajar con la información. Diseñar y desarrollar dashboards, reportes y visualizaciones de datos, transformando información compleja en soluciones claras e intuitivas para el negocio. Analizar e interpretar datos, identificando tendencias, oportunidades e insights relevantes para la toma de decisiones. Trabajar con datos y consultas SQL, realizando análisis y extracción de información según las necesidades del negocio. Trabajar colaborativamente dentro de células de desarrollo, participando en distintas etapas y roles de los proyectos bajo metodología Agile. Modalidad de trabajo: la posición es 100% remota, con posibilidad de asistir a reuniones presenciales puntuales en CABA. Requisitos: Experiencia en posiciones de Business Intelligence, Data Analytics, Data Visualization o similares dentro del sector financiero y/o bancario. Experiencia desarrollando dashboards, reportes y visualizaciones de datos. Manejo de herramientas de BI como Power BI, Tableau, MicroStrategy, Qlik o similares. Manejo de SQL. Conocimientos de HTML. Interés y/o experiencia en el uso de herramientas de Inteligencia Artificial generativa (por ejemplo, Gemini, Claude, Copilot, ChatGPT u otras). Capacidad para utilizar prompting como herramienta para potenciar el análisis y desarrollo de soluciones. Capacidad para interpretar datos y transformarlos en insights accionables para el negocio. Buena comunicación y capacidad para trabajar de manera colaborativa y transversal. Perfil proactivo, curioso, adaptable y orientado a la búsqueda de nuevas soluciones. Se valorará experiencia en extracción y transformación de datos, aunque no será un requisito excluyente. Se valorará experiencia con tecnologías o frameworks orientados al desarrollo de visualizaciones y aplicaciones de datos. Beneficios Excelente paquete de compensación. Oportunidad de sumarte a una organización de primer nivel con grandes desafíos.",Actualizado hace 8 días,https://www.bumeran.com.ar/empleos/data-visualization-analyst-baires-hr-1118426453.html,Data Analyst,bumeran,2026-09-14T16:41:42.558571,,,Remoto,
1118424251,BI Analyst Data Visualization,Baires HR,"Capital Federal, Buenos Aires","Empresa del sector financiero Nos encontramos en la búsqueda de un/a BI Analyst & Data Visualization para incorporarse a una importante organización del sector financiero.Buscamos una persona con experiencia en Business Intelligence y Data Analytics, con fuerte orientación a la visualización, análisis e interpretación de datos, que pueda comprender las necesidades del negocio y transformarlas en soluciones de información.. ¿Cuál será tu misión?Desarrollar soluciones de BI y Analytics que permitan transformar datos en visualizaciones, análisis e insights accionables para el negocio, adaptándote a nuevas herramientas y tecnologías para mejorar la forma en que la organización consume y utiliza la información. Principales responsabilidades Diseñar y desarrollar visualizaciones, dashboards y soluciones de BI, buscando nuevas formas de presentar la información de manera clara, intuitiva y orientada a la toma de decisiones. Analizar e interpretar datos, identificando tendencias, oportunidades e insights relevantes para las distintas áreas del negocio. Explorar y aplicar nuevas herramientas de Inteligencia Artificial para potenciar el análisis de datos, la visualización y el desarrollo de soluciones. Utilizar herramientas de IA generativa y prompting para optimizar tareas, explorar alternativas y acelerar el desarrollo de soluciones. Desarrollar y/o adaptar soluciones de visualización que permitan mejorar la experiencia de consumo de información. Trabajar con datos provenientes de distintas fuentes para realizar consultas, análisis y extracción de información. Trabajar colaborativamente dentro de células de desarrollo, participando en distintas etapas y roles de los proyectos bajo metodología Agile. Comprender las necesidades de los usuarios y áreas de negocio, transformándolas en soluciones analíticas y visuales. Proponer nuevas herramientas, enfoques y oportunidades de mejora en un entorno de constante evolución tecnológica. Modalidad de trabajo: la posición es 100% remota, con posibilidad de asistir a reuniones presenciales puntuales en CABA. Requisitos: Experiencia en posiciones de Business Intelligence, Data Analytics, Data Visualization o similares. Experiencia desarrollando dashboards, reportes y visualizaciones de datos. Manejo de herramientas de BI como Power BI, Tableau, MicroStrategy, Qlik o similares. Manejo de SQL. Conocimientos de HTML. Interés y/o experiencia en el uso de herramientas de Inteligencia Artificial generativa (por ejemplo, Gemini, Claude, Copilot, ChatGPT u otras). Capacidad para utilizar prompting como herramienta para potenciar el análisis y desarrollo de soluciones. Capacidad para interpretar datos y transformarlos en insights accionables para el negocio. Buena comunicación y capacidad para trabajar de manera colaborativa y transversal. Perfil proactivo, curioso, adaptable y orientado a la búsqueda de nuevas soluciones. Se valorará experiencia en extracción y transformación de datos, aunque no será un requisito excluyente. Se valorará experiencia con tecnologías o frameworks orientados al desarrollo de visualizaciones y aplicaciones de datos. Beneficios Excelente paquete de compensación. Oportunidad de sumarte a una organización de primer nivel con grandes desafíos.",Actualizado hace 12 días,https://www.bumeran.com.ar/empleos/bi-analyst-data-visualization-baires-hr-1118424251.html,Data Analyst,bumeran,2026-09-14T16:41:42.560797,,,Remoto,
1118373125,Data & Business Intelligence Analyst JR/SSR NEUQUEN CAPITAL,ADECCO RECURSOS HUMANOS ARGENTINA SA,"Neuquén, Neuquén","🚀 Desde Adecco acompañamos en la búsqueda a una empresa petrolera, a incorporar un/a Data & Business Intelligence Analyst - Enfoque Oil & Gas.🔎 Buscamos Profesional proactivo y versátil para integrarse al equipo de Operaciones, con el objetivo de acelerar la transformación digital en operaciones y soporte. Su misión será diseñar y desarrollar aplicaciones ágiles de bajo código (Low-Code), automatizar flujos de trabajo e implementar soluciones de Business Intelligence que faciliten la toma de decisiones operativas y comerciales basadas en datos reales.🧩 Responsabilidades principales Fundamentos de Desarrollo: Lógica de programación sólida, comprensión del ciclo de vida del software. Plataformas Low-Code: Experiencia en el desarrollo de aplicaciones (Canvas/Model-Driven) utilizando herramientas como Power Apps (o similares), incluyendo lógica avanzada, manejo de colecciones locales, variables y almacenamiento de datos offline. Bases de Datos: Sólidos conocimientos en lenguaje SQL (queries, joins, vistas, agregaciones) para la extracción y manipulación de datos desde entornos relacionales (SQL Server, Oracle) o repositorios corporativos. Business Intelligence (BI): Experiencia en el modelado de datos, creación de métricas/medidas calculadas (DAX o similar) y diseño de reportes visuales limpios en herramientas como Power BI.📩 Sumate a un equipo global, con impacto regional y oportunidades de crecimiento. ¡Te esperamos!¡REGISTRATE EN ADECCO EMPLEO Y DA EL PASO QUE NECESITÁS! WWW.EMPLEO.ADECCO.COM.AR/#/REGISTROSomos Adecco división Technology y brindamos soluciones integrales en RRHH para proyectos y perfiles de IT & Telecomunicaciones. Ofrecemos una cobertura nacional que nos hace capaces de encontrar y contratar a los más talentosos profesionales IT, con el respaldo del Grupo Adecco. Nuestro compromiso es la #diversidad e #igualdad de oportunidades; somos una empresa inclusiva. Cuando sos parte de nuestros procesos, solo cuentan tus méritos, logros y capacidades, lo hacemos pensando en vos como persona. Participar de nuestros procesos de selección no tiene ningún costo para vos candidato/a, trabajar con vos es parte de nuestro compromiso y tarea con la comunidad. Postulate y participá en una oferta de empleo nuestra. El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece. Ciudad de Buenos Aires: ley de búsqueda laboral equitativa - Ley 6471",Actualizado hace más de 15 días,https://www.bumeran.com.ar/empleos/data-business-intelligence-analyst-jr-ssr-neuquen-capital-adecco-recursos-humanos-argentina-sa-1118373125.html,Data Analyst,bumeran,2026-09-14T16:41:42.563487,,,Híbrido,
2189245,Data Visualization Analyst,Baires HR,"Capital Federal, Buenos Aires",,Actualizado hace 11 días,https://www.bumeran.com.ar/empleos/data-visualization-analyst-baires-hr-2189245.html,Data Analyst,bumeran,2026-09-14T16:41:42.566009,,,Remoto,
2189150,BI Analyst Data Visualization,Baires HR,"Capital Federal, Buenos Aires",,Actualizado hace 11 días,https://www.bumeran.com.ar/empleos/bi-analyst-data-visualization-baires-hr-2189150.html,Data Analyst,bumeran,2026-09-14T16:41:42.568667,,,Remoto,
1118338178,Especialista en Machine Learning,Bumeran Selecta,"La Falda, Córdoba","Es una empresa de servicios y desarrollos tecnológicos de alto valor agregado especializada en la actividad aeroespacial de Argentina. Con más de 15 años de trayectoria, funciona como el brazo ejecutor de la CONAE en los proyectos más estratégicos del país.Las principales líneas de trabajo incluyen el desarrollo del vehículo lanzador de satélites Tronador II (acceso al espacio), la operación de centros de control de misiones satelitales (como la constelación SAOCOM) y la provisión de servicios de ingeniería avanzada para la industria nacional y global. En VENG, nos encontramos en la búsqueda de un Especialista de Machine Learning / Computer Vision para sumarse a nuestro equipo. Si te apasiona el desarrollo de modelos avanzados, los desafíos tecnológicos complejos y querés cubrir todo el ciclo de desarrollo de soluciones innovadoras, ¡este puesto es para vos!Tu función principal será desarrollar e implementar modelos de ML aplicados a pipelines de soluciones de Remote Sensing (RS) y Computer Vision (CV).¿Cuáles serán tus principales tareas? Seleccionar, desarrollar e implementar modelos de ML y CV, asegurando la máxima performance técnica requerida. Diseñar, programar y desplegar operativamente modelos de ML en el nicho de CV y RS. Acompañar ciclos de product discovery con nuevos clientes, proponiendo soluciones innovadoras desde el inicio. Colaborar en la definición de arquitecturas de soluciones basadas en RS satelital, trabajando codo a codo con el especialista de RS. Trabajar en equipos multidisciplinarios junto a desarrolladores comerciales, líderes de producto, especialistas en Remote Sensing e infraestructura IT. Requisitos: ¿Qué buscamos? (Requisitos) Educación: Universitario completo en Ingeniería con Especialización en Data Science, Computer Vision, Remote Sensing o carreras afines. Experiencia: Mínimo 5 años liderando la generación y despliegue de modelos de ML en productos de CV o RS (ideal). Conocimientos clave: Sólida experiencia en la selección y diseño de modelos de ML, así como en algoritmos de CV y/o RS. Idioma: Nivel de inglés intermedio-avanzado (requerido para comunicarse con especialistas en dicho idioma). El Fit Cultural que buscamos: Apuntamos a profesionales con un perfil marcadamente proactivo frente a nuevos desafíos, con un fuerte enfoque en la calidad del trabajo y orientados a los resultados. Valoramos especialmente a las personas que buscan el aprendizaje constante y que tienen la autonomía para proponer soluciones disruptivas en lugar de esperar a que las respuestas lleguen solas.¡El espíritu colaborativo y el trabajo en equipo son esenciales! Beneficios ¿Qué te ofrecemos?Tipo de Contratación: Efectiva.Modalidad: Híbrida si vivís en Córdoba (Falda del Carmen) o 100% Remoto si estás en cualquier otro punto de Argentina .Jornada Laboral: Lunes a viernes, 8 horas diarias.Salud: Prepaga OSDE.Y hay mas beneficios...",Actualizado hace más de 15 días,https://www.bumeran.com.ar/empleos/especialista-en-machine-learning-bumeran-selecta-1118338178.html,Machine Learning Engineer,bumeran,2026-09-14T16:43:13.129790,,,Híbrido,
1118434647,Data Engineer,EMEDE CONSULTORA,"Capital Federal, Buenos Aires",Alta revisión de perfiles,Actualizado hace 6 horas,https://www.bumeran.com.ar/empleos/data-engineer-emede-consultora-1118434647.html,Data Engineer,bumeran,2026-09-14T16:44:48.032071,,,Híbrido,
1118425270,Data Engineer Senior,ITSM CONSULTING SA,"Capital Federal, Buenos Aires","Importante compañía nacional vinculada al sector de salud y tecnología, con una sólida trayectoria en el mercado y foco en el desarrollo de soluciones y servicios de alto impacto. Buscamos un/a Data Engineer SSR/SR para incorporarse a la compañía y participar en un proyecto estratégico de modernización tecnológica y migración hacia entornos cloud.El principal desafío de la posición será liderar la migración de los procesos de integración de datos desde Oracle Data Integrator (ODI) hacia Oracle Cloud Infrastructure (OCI) y soluciones de integración de Oracle en la nube, optimizando los procesos existentes e implementando buenas prácticas de ingeniería de datos. Requisitos: Liderar la migración de procesos de integración de datos desde Oracle Data Integrator (ODI) hacia entornos Oracle Cloud. Diseñar, desarrollar y optimizar procesos ETL/ELT. Analizar los procesos existentes e identificar oportunidades de mejora, optimización y automatización. Diseñar y mantener soluciones de integración de datos robustas y escalables. Trabajar con SQL, PL/SQL y modelado de datos. Implementar buenas prácticas de desarrollo, documentación y versionado. Colaborar con diferentes equipos técnicos en iniciativas de modernización de la plataforma de datos. Experiencia comprobable en Oracle Data Integrator (ODI) Conocimientos en plataformas de infraestructura cloud, como Oracle Cloud Infrastructure (OCI), AWS, Microsoft Azure, Google Cloud Platform (GCP) o similares. Dominio de SQL y PL/SQL. Experiencia en modelado de datos. Experiencia en diseño y desarrollo de procesos ETL/ELT. Experiencia en optimización y automatización de procesos de integración. Manejo de herramientas de versionado como Git y buenas prácticas de desarrollo.Será valorado: Experiencia en migraciones hacia entornos cloud. Conocimientos de Python. Experiencia trabajando con APIs. Conocimientos de Data Warehouse. Participación en proyectos de modernización tecnológica. Beneficios Relación de dependencia directa con la empresa Horario: lunes a viernes Full-Time Lugar de Trabajo: CABA, Microcentro Prepaga: Luis Pasteur para grupo familiar Almuerzo pago para cuando se concurra a la oficina Capacitaciones. Bono anual Esquema híbrido: 4 días de home office y 1 día presencial por semana (Flex)",Publicado hace 13 días,https://www.bumeran.com.ar/empleos/data-engineer-senior-itsm-consulting-sa-1118425270.html,Data Engineer,bumeran,2026-09-14T16:44:48.034809,,,Híbrido,
1118428803,Data Engineer GCP - Remoto - 1775,Aliantec,"Buenos Aires, Buenos Aires","¿Qué hace la compañía?Compañía nativa digital con presencia global de gran escala de ingeniería, diseño e innovación, con sedes ubicadas en 18 países entre América, Asia y Europa. Cuenta con un equipo de más de 20 mil profesionales que forman parte de nuevos desafíos y proyectos de vanguardia.¿Qué necesitás para ser parte del equipo?Nos encontramos en búsqueda de un/a Data Engineer GCP para participar en proyectos de datos, diseñando y desarrollando soluciones escalables sobre entornos Cloud y trabajando junto a distintos stakeholders para transformar requerimientos complejos en arquitecturas y soluciones técnicas eficientes. Contar con 5+ años de experiencia como Data Engineer Experiencia sólida con Python, SQL y PySpark Experiencia trabajando con GCP Conocimientos de arquitectura de plataformas de datos, Data Lakes y Data Warehouses. Experiencia con servicios de GCP como BigQuery, Dataproc, Dataflow, Dataplex y Composer. Experiencia con Google ADK. Experiencia con motores analíticos modernos como Databricks y/o Snowflake. Conocimientos de bases de datos relacionales como PostgreSQL, SQL Server u Oracle. Experiencia con procesos de procesamiento batch y/o streaming, utilizando tecnologías como Kafka y/o Pub/Sub. Conocimientos de bases de datos NoSQL como MongoDB, Cassandra, HBase, DynamoDB, Redis y/o Bigtable. Familiaridad con herramientas de BI como Looker, Power BI, Tableau, QlikSense y/o QlikView. Inglés Avanzado | Excluyente.¿Qué vas a hacer?Como Data Engineer GCP deberás: Diseñar, desarrollar y mantener soluciones de procesamiento de datos escalables y eficientes. Diseñar e implementar arquitecturas de Data Platforms, Data Lakes y Data Warehouses. Desarrollar pipelines y procesos de datos para escenarios batch y streaming. Trabajar con servicios de GCP, incluyendo BigQuery, Dataproc, Dataflow, Dataplex y Composer. Desarrollar soluciones utilizando Python, SQL y PySpark. Implementar estrategias de migración y transformación de datos. Trabajar con diferentes tecnologías de almacenamiento y procesamiento de datos, tanto relacionales como NoSQL. Interactuar con stakeholders técnicos y ejecutivos para comprender requerimientos complejos y traducirlos en arquitecturas y soluciones técnicas. Participar en proyectos orientados a clientes, gestionando expectativas y comunicando decisiones técnicas de manera clara. Garantizar la calidad, disponibilidad, performance y escalabilidad de las soluciones desarrolladas. Aplicar buenas prácticas de ingeniería de datos, versionado, testing, documentación y automatización. Participar en la definición y mejora continua de arquitecturas y procesos de Data Engineering.¿Cuándo y dónde trabajarás?Trabajarás bajo un esquema 100% remoto desde cualquier parte del país de lunes a viernes de 9-18 hs.¿Qué ofrecen? Contrato directo con la Empresa. Sueldo split: gran porcentaje de la remuneración en dólares 100% remoto. Prepaga de primer nivel para vos y tu grupo familiar. Plataforma de cursos gratuitos. Licencia de paternidad/maternidad extendida. Descuentos en entidades educativas privadas. Tarjeta de descuentos: ropa, comida, viajes, etc. Inglés in Company. Plan de carrera interno en diferentes ramas IT. Proyectos multidisciplinarios.¿De qué fases consta el proceso de selección?El proceso de selección se desarrolla en varias etapas. En primer lugar, tendrás una entrevista con nuestra Recruiter Melina Rubio, donde conversaremos sobre tu experiencia laboral y tus intereses.Luego, con la empresa empleadora tendrás otras instancias. La primera una entrevista con el HR de la compañía para conocer más sobre el desafío y screening en inglés, la segunda una evaluación técnica para conocer con profundidad tus conocimientos y por último instancias con el cliente orientadas a conocer al equipo y el proyecto en mayor detalle.",Actualizado hace 6 días,https://www.bumeran.com.ar/empleos/data-engineer-gcp-remoto-1775-aliantec-1118428803.html,Data Engineer,bumeran,2026-09-14T16:44:48.037797,,,Remoto,
2189190,Data Engineer Senior,IT SM Consulting S.A.,"Capital Federal, Buenos Aires",,Publicado hace 13 días,https://www.bumeran.com.ar/empleos/data-engineer-senior-it-sm-consulting-s.a.-2189190.html,Data Engineer,bumeran,2026-09-14T16:44:48.042944,,,Híbrido,
